time,x,y
37.933304,17.116043,-9.632786
38.014603,17.434882,-9.636863
38.138298,17.79097,-9.646233
38.283401,18.160451,-9.737628
38.443298,18.610057,-9.755954
38.5905,18.978511,-9.850606
38.670601,19.191974,-9.845608
38.792702,19.521651,-9.831723
38.937904,19.935415,-9.838426
39.097099,20.445804,-9.905901
39.247498,20.878645,-9.917243
39.327805,21.136566,-9.951793
39.446999,21.576156,-9.986046
39.592499,22.046201,-9.979872
39.7509,22.464121,-10.034559
39.904305,22.881176,-10.08608
39.985001,23.099038,-10.076905
40.101402,23.464281,-10.118072
40.247101,23.884294,-10.129732
40.404701,24.390348,-10.197521
40.561203,24.893011,-10.264855
40.642303,25.204972,-10.284269
40.755302,25.529362,-10.302565
40.901703,25.884176,-10.302561
41.058899,26.32386,-10.300931
41.218102,26.734996,-10.263071
41.2994,26.956642,-10.256091
41.409904,27.311672,-10.303649
41.556297,27.81726,-10.313324
41.713303,28.292979,-10.292501
41.874901,28.771379,-10.318682
41.956398,28.991365,-10.309417
42.065498,29.321747,-10.335244
42.211098,29.738377,-10.343521
42.367599,30.277915,-10.450205
42.531898,30.801045,-10.51595
42.613503,31.001333,-10.512702
42.720901,31.214965,-10.541319
42.865997,31.644798,-10.565239
43.021904,32.116976,-10.601903
43.188904,32.615788,-10.633902
43.270699,32.839651,-10.628017
43.376305,33.166418,-10.660129
43.520905,33.579463,-10.667926
43.676399,34.037302,-10.690678
43.845901,34.546138,-10.725798
43.927902,34.767571,-10.716472
44.031799,35.066728,-10.724555
44.175598,35.487404,-10.742706
44.330704,36.033757,-10.711495
44.5028,36.531368,-10.727015
44.585098,36.753706,-10.717651
44.687202,37.076449,-10.756104
44.830299,37.46666,-10.744175
44.984802,37.883964,-10.726601
45.158104,38.351802,-10.706898
45.242302,38.603213,-10.722958
45.342804,38.925906,-10.766185
45.485001,39.382697,-10.827375
45.638802,39.87667,-10.893547
45.813499,40.406436,-10.908287
45.899498,40.769852,-10.916087
45.998398,41.035156,-10.903122
46.139801,41.367248,-10.834378
