t,x,y
44.457298,18.061086,25.544057
44.548096,18.299487,25.537155
44.682098,18.651264,25.526971
44.829597,19.038536,25.515759
45.003799,19.492009,25.50261
45.114098,19.772197,25.494446
45.204399,20.001452,25.487767
45.337296,20.338858,25.477936
45.484795,20.713686,25.467015
45.657295,21.151556,25.454258
45.770897,21.440148,25.445849
45.860695,21.668151,25.439207
45.992294,22.002466,25.429466
46.140099,22.377754,25.418532
46.310799,22.811256,25.405902
46.427597,23.107818,25.397261
46.516998,23.334824,25.390647
46.6474,23.665998,25.380998
46.795502,24.042103,25.37004
46.964401,24.471032,25.357543
47.084198,24.775258,25.348679
47.173096,25.00114,25.342098
47.302597,25.330015,25.332516
47.450798,25.706273,25.321554
47.617996,26.130886,25.309182
47.740799,26.442748,25.300096
47.829102,26.666996,25.293562
47.957901,26.994262,25.284027
48.105995,27.370418,25.273068
48.271698,27.790995,25.260814
48.3974,28.110393,25.251508
48.484901,28.332623,25.245034
48.613297,28.658585,25.235536
48.761101,29.034026,25.224598
48.925301,29.45095,25.21245
49.054199,29.778369,25.202911
49.1408,29.998326,25.196502
49.268501,30.322628,25.187054
49.416,30.697073,25.176144
49.578896,31.110855,25.164088
49.711494,31.447546,25.154279
49.796799,31.664156,25.147967
49.923698,31.986441,25.138578
50.070702,32.348683,25.122822
50.232697,32.744177,25.103739
50.368698,33.075923,25.087731
50.452797,33.281107,25.077831
50.578896,33.588896,25.062979
50.725197,33.946023,25.045747
50.886597,34.33997,25.026739
51.025902,34.679767,25.010343
51.108795,34.882202,25.000575
51.2341,35.187953,24.985822
51.3797,35.543141,24.968683
51.540596,35.935861,24.949734
51.683098,36.283709,24.932949
51.764801,36.483125,24.923327
51.889099,36.786446,24.908691
52.034096,37.140358,24.891614
52.194397,37.531433,24.872744
52.340401,37.887652,24.855556
52.420799,38.084073,24.846078
52.543495,38.383467,24.831631
52.688698,38.737648,24.814541
52.848099,39.126833,24.795763
52.997398,39.491177,24.778182
53.077599,39.686911,24.768738
53.197899,39.98034,24.754579
53.343201,40.335037,24.737464
53.5019,40.722283,24.718779
53.654297,41.094285,24.700829
53.734901,41.290853,24.691344
53.852196,41.577213,24.677527
53.997894,41.932671,24.660375
54.155701,42.317879,24.641788
54.311096,42.697197,24.623485
54.392097,42.894845,24.613948
54.506294,43.173472,24.600504
54.652397,43.530109,24.583295
54.8097,43.913893,24.564777
54.967995,44.301812,24.545505
55.049301,44.514724,24.530117
55.160301,44.805591,24.509096
55.306999,45.190067,24.481309
55.464096,45.601661,24.451562
55.624901,46.022952,24.421114
55.706299,46.23626,24.405698
55.815895,46.523437,24.384943
55.9618,46.905699,24.357316
56.118401,47.316081,24.327656
56.281799,47.744198,24.296715
56.363396,47.957954,24.281267
56.471397,48.240835,24.260822
56.616699,48.62149,24.233311
56.772797,49.030553,24.203747
56.938896,49.465681,24.172299
57.0205,49.6797,24.156832
57.126801,49.958049,24.136715
57.271599,50.337359,24.109301
57.4272,50.745158,24.079828
57.595795,51.186953,24.047899
57.677696,51.401578,24.032387
57.782196,51.675368,24.0126
57.9263,52.05286,23.985318
58.081596,52.459683,23.955915
58.2528,52.908251,23.923496
58.334999,53.123694,23.907926
58.437698,53.392766,23.888479
58.581001,53.768228,23.861344
58.735802,54.173787,23.832033
58.9086,54.626703,23.7993
58.992195,54.845572,23.783481
59.093201,55.110269,23.764351
59.235695,55.48365,23.737366
59.389801,55.88739,23.708187
59.563995,56.343759,23.675204
59.649399,56.567503,23.659033
59.748795,56.828036,23.640204
59.890495,57.199177,23.61338
60.0438,57.584709,23.588927
60.219299,58.011103,23.565188
60.306297,58.222272,23.553432
60.404297,58.460388,23.540175
60.545502,58.803208,23.52109
60.6978,59.17317,23.500493
60.874496,59.602471,23.476592
60.962997,59.817403,23.464627
61.059898,60.052562,23.451535
61.200798,60.394943,23.432473
61.351799,60.761704,23.412055
61.529701,61.193741,23.388002
61.619598,61.412093,23.375846
61.715599,61.645298,23.362863
61.856094,61.986482,23.343868
62.005898,62.35036,23.32361
62.184898,62.785085,23.299408
62.276001,63.006344,23.28709
62.371399,63.238132,23.274185
62.511398,63.57807,23.25526
62.660095,63.939237,23.235153
62.840096,64.376526,23.210808
62.932396,64.600497,23.198339
63.027298,64.831015,23.185505
63.166695,65.169804,23.166644
63.314201,65.527893,23.146708
63.494995,65.967064,23.122258
63.588699,66.194723,23.109584
63.682899,66.423531,23.096845
63.809799,66.731759,23.079686
63.955795,67.086355,23.059944
64.131096,67.511942,23.036251
64.236,67.766743,23.022065
64.322098,67.975909,23.01042
64.454102,68.29645,22.992575
64.598297,68.646673,22.973077
64.769196,69.061878,22.949961
64.885201,69.343673,22.934273
64.974701,69.560974,22.922175
65.1054,69.878412,22.904502
65.253395,70.237918,22.884487
65.422798,70.649263,22.861586
65.541801,70.938387,22.845489
65.630898,71.154735,22.833444
65.760597,71.469657,22.815911
65.908699,71.829553,22.795874
66.076302,72.236647,22.77321
66.198395,72.533149,22.756702
66.286896,72.748056,22.744738
66.415901,73.061389,22.727293
66.563995,73.421139,22.707264
66.729996,73.824325,22.684817
66.855095,74.128058,22.667907
66.942795,74.341035,22.65605
67.071297,74.653122,22.638675
67.2192,75.012432,22.618671
67.383698,75.411905,22.59643
67.511696,75.722893,22.579116
67.598701,75.934062,22.56736
67.726601,76.24466,22.550067
67.8741,76.602944,22.53012
68.0373,76.999436,22.508046
68.168999,77.319243,22.490241
68.254601,77.527236,22.478661
68.381699,77.835904,22.461476
68.528801,78.19326,22.441581
68.691101,78.58726,22.419645
68.826195,78.915495,22.401371
68.910599,79.120362,22.389965
69.036896,79.427197,22.372883
69.183395,79.783038,22.353072
69.345001,80.175475,22.331223
69.483398,80.511674,22.312505
69.566597,80.713829,22.301251
69.692101,81.018637,22.284281
69.837799,81.372572,22.264576
69.998901,81.770189,22.234763
70.140594,82.137429,22.186915
70.222694,82.350006,22.159218
70.347298,82.673041,22.11713
70.492294,83.048777,22.068175
70.652802,83.464548,22.014004
70.797897,83.840545,21.965015
70.8787,84.04989,21.93774
71.001701,84.368807,21.896188
71.146896,84.744857,21.847192
71.306496,85.158542,21.793293
71.454994,85.543323,21.74316
71.535095,85.750999,21.716101
71.656097,86.064469,21.675259
71.8013,86.440831,21.626223
71.960197,86.852588,21.572575
72.1119,87.245657,21.521362
72.192398,87.454116,21.494202
72.310394,87.760027,21.454344
72.456001,88.137223,21.405199
72.614098,88.546791,21.351837
72.768799,88.947653,21.299608
